2001;THEFT/RECOVERY: TRUCK,BUS,MHOME;19.0
2001;ARMED: OTHER FIREARM;16.0
2001;PRO EMP HANDS NO/MIN INJURY;53.0
2001;FINANCIAL IDENTITY THEFT $300 AND UNDER;0.0
2001;BOOKMAKING/SPORTS;100.0
2001;MANU/DELIVER:SYNTHETIC DRUGS;100.0
2001;$500 AND UNDER;21.0
2001;OTHER VEHICLE OFFENSE;76.0
2001;POSS: CANNABIS 30GMS OR LESS;100.0
2001;AGGRAVATED FINANCIAL IDENTITY THEFT;0.0
2001;MANU/DELIVER: HALLUCINOGEN;100.0
2001;AGGRAVATED PO: KNIFE/CUT INSTR;38.0
2001;TO VEHICLE;5.0
2001;ENDANGERING LIFE/HEALTH CHILD;50.0
2001;CHILD ABDUCTION/STRANGER;16.0
2001;AGGRAVATED:KNIFE/CUTTING INSTR;38.0
2001;MANU/DELIVER:LOOK-ALIKE DRUG;100.0
2001;OTHER;35.0
2001;ATTEMPT AGG: HANDGUN;20.0
2001;AGGRAVATED - HANDGUN;0.0
2001;HARASSMENT BY ELECTRONIC MEANS;3.0
2001;RETAIL THEFT;67.0
2001;AGGRAVATED PO: HANDGUN;76.0
2001;AGGRAVATED PO: OTHER FIREARM;75.0
2001;THEFT OF LABOR/SERVICES;69.0
2001;DELIVER CANNABIS TO PERSON <18;100.0
2001;AGG CRIMINAL SEXUAL ABUSE;31.0
2001;MANU/DELIVER:PCP;100.0
2001;ILLEGAL CONSUMPTION BY MINOR;100.0
2001;GAME/AMUSEMENT DEVICE;100.0
2001;TO STATE SUP LAND;92.0
2001;DOMESTIC VIOLENCE;100.0
2001;FRAUD OR CONFIDENCE GAME;12.0
2001;AGG: HANDS/FIST/FEET NO/MINOR INJURY;28.0
2001;INTERFERENCE JUDICIAL PROCESS;51.0
2001;FORCIBLE DETENTION;0.0
2001;ATTEMPT: ARMED-KNIFE/CUT INSTR;14.0
2001;BY EXPLOSIVE;33.0
2001;ILLEGAL USE CASH CARD;7.0
2001;OBSCENE TELEPHONE CALLS;0.0
2001;LICENSED PREMISE;100.0
2001;ATT: TRUCK, BUS, MOTOR HOME;11.0
2001;ATTEMPT AGG: KNIFE/CUT INSTR;23.0
2001;NON-AGGRAVATED;18.0
2001;AGGRAVATED: OTHER FIREARM;50.0
2001;TO STATE SUP PROP;27.0
2001;MANU/DELIVER: HEROIN (WHITE);100.0
2001;AGGRAVATED PO: OTHER DANG WEAP;74.0
2001;AGGRAVATED;26.0
2001;INTOXICATING COMPOUNDS;100.0
2001;UNLAWFUL SALE HANDGUN;81.0
2001;ATTEMPT NON-AGGRAVATED;23.0
2001;SALE/DEL HYPODERMIC NEEDLE;100.0
2001;FINANCIAL ID THEFT:$300 &UNDER;3.0
2001;UNLAWFUL USE OF RECORDED SOUND;94.0
2001;TELEPHONE THREAT;2.0
2001;MANU/DELIVER:CRACK;100.0
2001;AGGRAVATED PO: OTHER FIREARM;100.0
2001;ARMED - OTHER FIREARM;0.0
2001;AUTOMOBILE;10.0
2001;UNLAWFUL USE OTHER DANG WEAPON;60.0
2001;AGGRAVATED;88.0
2001;STRONG ARM - NO WEAPON;0.0
2001;UNLAWFUL POSS OTHER FIREARM;89.0
2001;ATTEMPT: ARMED-HANDGUN;11.0
2001;AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER;0.0
2001;AGG PRO.EMP:KNIFE/CUTTING INST;36.0
2001;TO VEHICLE;64.0
2001;BY FIRE;15.0
2001;SEXUAL EXPLOITATION OF A CHILD;33.0
2001;LICENSE VIOLATION;30.0
2001;AGGRAVATED: OTHER FIREARM;50.0
2001;CRIMINAL TRANSMISSION OF HIV;25.0
2001;SALE/DIST OBSCENE MAT TO MINOR;100.0
2001;LOOTING;0.0
2001;AGG PO HANDS NO/MIN INJURY;84.0
2001;POSS. KEYS OR DEV.TO COIN MACH;0.0
2001;SEX OFFENDER: FAIL REG NEW ADD;30.0
2001;ARMED: HANDGUN;7.0
2001;FORGERY;21.0
2001;ATTEMPT ARSON;17.0
2001;$300 AND UNDER;0.0
2001;UNLAWFUL USE/SALE AIR RIFLE;81.0
2001;AGG: FINANCIAL ID THEFT;4.0
2001;OBSTRUCTING SERVICE;75.0
2001;AGG PO HANDS NO/MIN INJURY;94.0
2001;AGG RITUAL MUT:KNIFE/CUTTING I;25.0
2001;INTERFERE W/ HIGHER EDUCATION;100.0
2001;MANU/DEL:CANNABIS 10GM OR LESS;100.0
2001;ATTEMPT THEFT;32.0
2001;POSS: COCAINE;100.0
2001;BOLITA OR BOLI PUL/RUNNER;100.0
2001;POS: HYPODERMIC NEEDLE;100.0
2001;MOB ACTION;78.0
2001;INSURANCE FRAUD;33.0
2001;POSS: LOOK-ALIKE DRUGS;100.0
2001;OFFICIAL MISCONDUCT;50.0
2001;POS: EXPLOSIVE/INCENDIARY DEV;67.0
2001;SOLICIT ON PUBLIC WAY;100.0
2001;FALSE FIRE ALARM;67.0
2001;ARMED - KNIFE / CUTTING INSTRUMENT;0.0
2001;PATRONIZING A PROSTITUTE;100.0
2001;ATT: AUTOMOBILE;8.0
2001;BOLITA OR BOLI PUL/WRITER;100.0
2001;STRONGARM - NO WEAPON;11.0
2001;ATTEMPT FINANCIAL IDENTITY THEFT;0.0
2001;CONCEALING/AIDING A FUGITIVE;67.0
2001;SOLICIT FOR PROSTITUTE;100.0
2001;RECKLESS CONDUCT;75.0
2001;POSSESSION OF BURGLARY TOOLS;98.0
2001;MANU/DELIVER:AMPHETAMINES;100.0
2001;TO CITY OF CHICAGO PROPERTY;100.0
2001;ATT CRIM SEXUAL ABUSE;23.0
2001;UNLAWFUL SALE OTHER FIREARM;57.0
2001;COMPUTER FRAUD;0.0
2001;IMPERSONATION;65.0
2001;CRIMINAL SEXUAL ABUSE;30.0
2001;AGGRAVATED: OTHER DANG WEAPON;21.0
2001;UNLAWFUL RESTRAINT;21.0
2001;PREDATORY;38.0
2001;SEX ASSLT OF CHILD BY FAM MBR;27.0
2001;UNLAWFUL USE OTHER FIREARM;59.0
2001;AGGRAVATED DOMESTIC BATTERY;33.0
2001;AGGRAVATED PO: HANDGUN;72.0
2001;AGGRAVATED;19.0
2001;POSS: HALLUCINOGENS;100.0
2001;REGISTER OF SALES BY DEALER;0.0
2001;DEL CONT SUBS TO PERSON <18;100.0
2001;AGG RITUAL MUT:HANDGUN;0.0
2001;CYCLE, SCOOTER, BIKE W-VIN;5.0
2001;FOUND SUSPECT NARCOTICS;100.0
2001;OBSCENE MATTER;100.0
2001;OVER $300;0.0
2001;FORCIBLE ENTRY;6.0
2001;AGGRAVATED - KNIFE / CUTTING INSTRUMENT;0.0
2001;ATTEMPT FORCIBLE ENTRY;10.0
2001;POSS: AMPHETAMINES;100.0
2001;ATT AGG CRIMINAL SEXUAL ABUSE;25.0
